Position,Title,IMDB,Rating
1,How the Grinch Stole Christmas,5.7,PG
2,Cast Away,7.5,PG-13
3,Mission: Impossible II,5.8,PG-13
4,Gladiator,8.3,R
5,What Women Want,6.3,PG-13
6,The Perfect Storm,6.2,PG-13
7,Meet the Parents,7.1,PG-13
8,X-Men,7.4,PG-13
9,Scary Movie,6.0,R
10,What Lies Beneath,6.5,PG-13
11,Dinosaur,6.2,PG
12,"Crouching Tiger, Hidden Dragon",8.0,PG-13
13,Erin Brockovich,7.2,R
14,Charlie's Angels,5.5,PG-13
15,Nutty Professor II: The Klumps,4.3,PG-13
16,Big Momma's House,4.8,PG-13
17,Remember the Titans,7.5,PG
18,The Patriot,6.9,R
19,Miss Congeniality,6.1,PG-13
20,Chicken Run,7.3,G
21,Gone in Sixty Seconds,6.0,PG-13
22,Unbreakable,7.3,PG-13
23,"Me, Myself & Irene",6.3,R
24,Space Cowboys,6.3,PG-13
25,The Emperor's New Groove,7.3,G
26,Scream 3,5.3,R
27,U-571,6.5,PG-13
28,Rugrats in Paris,5.7,G
29,The Family Man,6.6,PG-13
30,Hollow Man,5.5,R
31,Shaft,5.9,R
32,The Kid,5.9,PG
33,Road Trip,6.4,R
34,Vertical Limit,5.6,PG-13
35,Bring It On,5.9,PG-13
36,102 Dalmatians,4.5,G
37,Rules of Engagement,6.2,R
38,The Cell,6.2,R
39,Mission to Mars,5.2,PG
40,Coyote Ugly,5.3,PG-13
41,Snow Day,4.5,PG
42,The Cider House Rules,7.5,PG-13
43,The Whole Nine Yards,6.6,R
44,Next Friday,5.4,R
45,Shanghai Noon,6.6,PG-13
46,Romeo Must Die,5.9,R
47,Final Destination,6.8,R
48,Finding Forrester,7.2,PG-13
49,The Road to El Dorado,6.5,PG
50,The Hurricane,7.4,R
